Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Sport Code,Sport Name,# Participants Men's Team,# Participants Women's Team,# Participants Men Coed Team,# Participants Women Coed Team,Total # Participants Men's Team/Men Coed Team,Total # Participants Women's Team/Women Coed Team,Operating Expenses per Participant/Men's Team,Operating Expenses per Team/Men's Team,Operating Expenses per Participant/Women's Team,Operating Expenses per Team/Women's Team,Total Operating Expenses Men's Team and Women's Team,Operating Expenses per Participant/Men Coed Team,Operating Expenses per Team/Men Coed Team,Operating Expenses per Participant/Women Coed Team,Operating Expenses per Team/Women Coed Team,Total Operating Expenses Men Coed Team/Women Coed Team,Revenues Men's Team,Revenues Women's Team,Total Revenues For Men's Team and Women's Team,Revenues Men Coed Team,Revenues Women Coed Team,Total Revenues Men Coed Team/Women Coed Team,Total Revenues Men's Team and Men Coed Team,Total Revenues Women's Team and Women Coed Team,Total Revenues Men's Team/Women's Team and Coed Team,Expenses Men's Team,Expenses Women's Team,Total Expenses Men's Team and Women's Team,Expenses Men Coed Team,Expenses Women Coed Team,Total Expenses Men Coed Team and Women Coed Team,Total Expenses Men's Team and Men Coed Team,Total Expenses Women's Team and  Women Coed Team,Total Expenses Men's Team/Women's Team and Coed Team
2022,151351,00180900,Indiana University-Bloomington,IN,1,,1,NCAA,17336,17201,34537,7,Football,127,,,,127,0,62553,7944239,0,0,7944239,,,,,,53493281,,53493281,,,,53493281,0,53493281,33934187,,33934187,,,,33934187,0,33934187
2022,171100,00229000,Michigan State University,MI,1,,1,NCAA,17203,18669,35872,7,Football,113,,,,113,0,40714,4600735,0,0,4600735,,,,,,73601571,,73601571,,,,73601571,0,73601571,49428661,,49428661,,,,49428661,0,49428661
2022,147767,00173900,Northwestern University,IL,1,,1,NCAA,3978,4610,8588,7,Football,111,,,,111,0,28984,3217229,0,0,3217229,,,,,,70045075,,70045075,,,,70045075,0,70045075,38424149,,38424149,,,,38424149,0,38424149
2022,204796,00309000,Ohio State University-Main Campus,OH,1,,1,NCAA,20955,21231,42186,7,Football,124,,,,124,0,71594,8877664,0,0,8877664,,,,,,127355183,,127355183,,,,127355183,0,127355183,72409506,,72409506,,,,72409506,0,72409506
2022,214777,00332900,Pennsylvania State University-Main Campus,PA,1,,1,NCAA,21343,19132,40475,7,Football,122,,,,122,0,151000,18421956,0,0,18421956,,,,,,114274945,,114274945,,,,114274945,0,114274945,57959743,,57959743,,,,57959743,0,57959743
2022,243780,00182500,Purdue University-Main Campus,IN,1,,1,NCAA,21058,15417,36475,7,Football,123,,,,123,0,48707,5990926,0,0,5990926,,,,,,59669043,,59669043,,,,59669043,0,59669043,31441226,,31441226,,,,31441226,0,31441226
2022,186380,00262900,Rutgers University-New Brunswick,NJ,1,,1,NCAA,17318,17312,34630,7,Football,131,,,,131,0,55331,7248405,0,0,7248405,,,,,,49812329,,49812329,,,,49812329,0,49812329,49812329,,49812329,,,,49812329,0,49812329
2022,145637,00177500,University of Illinois Urbana-Champaign,IL,1,,1,NCAA,17641,15632,33273,7,Football,116,,,,116,0,60562,7025206,0,0,7025206,,,,,,70508218,,70508218,,,,70508218,0,70508218,35167388,,35167388,,,,35167388,0,35167388
2022,153658,00189200,University of Iowa,IA,1,,1,NCAA,8804,11332,20136,7,Football,128,,,,128,0,41910,5364461,0,0,5364461,,,,,,87365943,,87365943,,,,87365943,0,87365943,45372393,,45372393,,,,45372393,0,45372393
2022,163286,00210300,University of Maryland-College Park,MD,1,,1,NCAA,14029,13883,27912,7,Football,120,,,,120,0,42211,5065267,0,0,5065267,,,,,,58514762,,58514762,,,,58514762,0,58514762,33999400,,33999400,,,,33999400,0,33999400
2022,170976,00232500,University of Michigan-Ann Arbor,MI,1,,1,NCAA,14705,16443,31148,7,Football,141,,,,141,0,68858,9708911,0,0,9708911,,,,,,142767462,,142767462,,,,142767462,0,142767462,67697276,,67697276,,,,67697276,0,67697276
2022,174066,00396900,University of Minnesota-Twin Cities,MN,1,,1,NCAA,12956,15502,28458,7,Football,111,,,,111,0,61026,6773912,0,0,6773912,,,,,,77214620,,77214620,,,,77214620,0,77214620,40312012,,40312012,,,,40312012,0,40312012
2022,181464,00256500,University of Nebraska-Lincoln,NE,1,,1,NCAA,9015,9155,18170,7,Football,153,,,,153,0,36294,5553031,0,0,5553031,,,,,,120840117,,120840117,,,,120840117,0,120840117,48692016,,48692016,,,,48692016,0,48692016
2022,240444,00389500,University of Wisconsin-Madison,WI,1,,1,NCAA,15600,17947,33547,7,Football,121,,,,121,0,50432,6102224,0,0,6102224,,,,,,104160933,,104160933,,,,104160933,0,104160933,53898310,,53898310,,,,53898310,0,53898310
2021,151351,00180900,Indiana University-Bloomington,IN,1,,1,NCAA,16570,16509,33079,7,Football,132,,,,132,0,56383,7442597,0,0,7442597,,,,,,59883653,,59883653,,,,59883653,0,59883653,31678333,,31678333,,,,31678333,0,31678333
2021,171100,00229000,Michigan State University,MI,1,,1,NCAA,16732,18254,34986,7,Football,115,,,,115,0,36352,4180462,0,0,4180462,,,,,,95112924,,95112924,,,,95112924,0,95112924,47456650,,47456650,,,,47456650,0,47456650
2021,147767,00173900,Northwestern University,IL,1,,1,NCAA,3938,4474,8412,7,Football,114,,,,114,0,21662,2469518,0,0,2469518,,,,,,58918531,,58918531,,,,58918531,0,58918531,32910340,,32910340,,,,32910340,0,32910340
2021,204796,00309000,Ohio State University-Main Campus,OH,1,,1,NCAA,21474,21431,42905,7,Football,127,,,,127,0,55213,7012030,0,0,7012030,,,,,,109176080,,109176080,,,,109176080,0,109176080,69127911,,69127911,,,,69127911,0,69127911
2021,243780,00182500,Purdue University-Main Campus,IN,1,,1,NCAA,20785,15087,35872,7,Football,117,,,,117,0,42496,4972040,0,0,4972040,,,,,,62465667,,62465667,,,,62465667,0,62465667,24857827,,24857827,,,,24857827,0,24857827
2021,186380,00262900,Rutgers University-New Brunswick,NJ,1,,1,NCAA,17175,17186,34361,7,Football,132,,,,132,0,59662,7875379,0,0,7875379,,,,,,43987227,,43987227,,,,43987227,0,43987227,43987227,,43987227,,,,43987227,0,43987227
2021,145637,00177500,University of Illinois Urbana-Champaign,IL,1,,1,NCAA,17727,15386,33113,7,Football,118,,,,118,0,22850,2696274,0,0,2696274,,,,,,63208225,,63208225,,,,63208225,0,63208225,29035738,,29035738,,,,29035738,0,29035738
2021,153658,00189200,University of Iowa,IA,1,,1,NCAA,8650,10994,19644,7,Football,130,,,,130,0,39010,5071245,0,0,5071245,,,,,,86241489,,86241489,,,,86241489,0,86241489,49230193,,49230193,,,,49230193,0,49230193
2021,163286,00210300,University of Maryland-College Park,MD,1,,1,NCAA,14315,14029,28344,7,Football,121,,,,121,0,43645,5281014,0,0,5281014,,,,,,53153690,,53153690,,,,53153690,0,53153690,30801233,,30801233,,,,30801233,0,30801233
2021,170976,00232500,University of Michigan-Ann Arbor,MI,1,,1,NCAA,14819,15835,30654,7,Football,134,,,,134,0,49933,6691048,0,0,6691048,,,,,,131403198,,131403198,,,,131403198,0,131403198,52408534,,52408534,,,,52408534,0,52408534
