Year,Team,Games,Win,Loss
2016,University of Illinois Urban-Champaign,12,3,9
2016,Indiana University-Bloomington,13,6,7
2016,University of Iowa,13,8,5
2016,University of Maryland-College Park,13,6,7
2016,University of Michigan-Ann Arbor,13,10,3
2016,Michigan State University,12,3,9
2016,University of Minnesota-Twin Cities,13,9,4
2016,University of Nebraska-Lincoln,13,9,4
2016,Northwestern University,13,7,6
2016,Ohio State University-Main Campus,13,11,2
2016,Pennsylvania State University-Main Campus,14,11,3
2016,Purdue University-Main Campus,12,3,9
2016,Rutgers University-New Brunswick,12,2,10
2016,University of Wisconsin-Madison,14,11,3
