year,team,games,win,loss,win_rate,surveyyear,footballteam,state,maleundergraduates,femaleundergraduates,totalundergraduates,participantsmenteam,operatingexpensesparticipantmenteam,operatingexpensesteammenteam,totaloperatingexpensesmenwomenteam,revenuesmenteam,expensesmenteam
2016,University of Maryland-College Park,13,6,7,0.462,2016,University of Maryland-College Park,MD,13815,12359,26174,111,25269,2804907,2804907,29973008,18908923
2016,University of Michigan-Ann Arbor,13,10,3,0.769,2016,University of Michigan-Ann Arbor,MI,13891,13942,27833,139,46915,6521230,6521230,105876108,46249632
2016,Michigan State University,12,3,9,0.25,2016,Michigan State University,MI,17245,18035,35280,118,48627,5737978,5737978,64958793,26326106
2016,University of Minnesota-Twin Cities,13,9,4,0.692,2016,University of Minnesota-Twin Cities,MN,13827,14955,28782,112,65042,7284695,7284695,48886935,30950349
2016,University of Nebraska-Lincoln,13,9,4,0.692,2016,University of Nebraska-Lincoln,NE,10022,9359,19381,139,45051,6262083,6262083,69503006,36571682
2016,Northwestern University,13,7,6,0.538,2016,Northwestern University,IL,4123,4126,8249,103,45953,4733130,4733130,38681564,26751803
2016,Ohio State University-Main Campus,13,11,2,0.846,2016,Ohio State University-Main Campus,OH,21559,20107,41666,130,74320,9661535,9661535,89893135,38446470
2016,Pennsylvania State University-Main Campus,14,11,3,0.786,2016,Pennsylvania State University-Main Campus,PA,21204,18679,39883,117,85187,9966893,9966893,81106066,39163720
2016,Purdue University-Main Campus,12,3,9,0.25,2016,Purdue University-Main Campus,IN,17069,12232,29301,110,26076,2868380,2868380,26014107,26680356
2016,Rutgers University-New Brunswick,12,2,10,0.167,2016,Rutgers University-New Brunswick,NJ,16991,16948,33939,107,28443,3043397,3043397,25423916,25423916
2016,University of Wisconsin-Madison,14,11,3,0.786,2016,University of Wisconsin-Madison,WI,13758,14443,28201,115,45114,5188088,5188088,73548409,33147287
2017,University of Illinois at Urbana-Champaign,12,2,10,0.167,2017,University of Illinois at Urbana-Champaign,IL,17464,14746,32210,108,25046,2705000,2705000,51295520,22217186
2017,Indiana University-Bloomington,12,5,7,0.417,2017,Indiana University-Bloomington,IN,16179,15934,32113,125,28545,3568142,3568142,51856180,24374745
2017,University of Iowa,13,8,5,0.615,2017,University of Iowa,IA,9899,11180,21079,123,36266,4460757,4460757,75963196,33092807
2017,University of Maryland-College Park,12,4,8,0.333,2017,University of Maryland-College Park,MD,14594,12944,27538,121,21551,2607695,2607695,34572475,19881239
2017,University of Michigan-Ann Arbor,13,8,5,0.615,2017,University of Michigan-Ann Arbor,MI,14205,14314,28519,135,56196,7586460,7586460,124928493,43453382
2017,Michigan State University,13,10,3,0.769,2017,Michigan State University,MI,17314,17935,35249,117,49347,5773647,5773647,77930837,33528479
2017,University of Minnesota-Twin Cities,12,5,7,0.417,2017,University of Minnesota-Twin Cities,MN,13884,15428,29312,113,54592,6168861,6168861,61561973,27754757
2017,University of Nebraska-Lincoln,12,4,8,0.333,2017,University of Nebraska-Lincoln,NE,10175,9359,19534,128,37082,4746458,4746458,92506833,46116924
2017,Northwestern University,13,10,3,0.769,2017,Northwestern University,IL,4047,4120,8167,115,25446,2926279,2926279,49703674,30031305
